repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,EXAMPLE,0,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,1,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,2,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,3,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,4,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,5,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,6,1,AndToAlt,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,7,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,8,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,9,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,10,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,11,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,12,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,13,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,14,1,MandToOpt,0.8125,0.8125,1.0,4.0,5.0,0.0,1.0,0.8125,0.8125,MandToOpt B from MANDATORY TO OPTIONAL
RANDOM,EXAMPLE,15,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,16,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,17,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,18,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,19,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,20,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,21,1,OptToMand,0.8125,0.8125,1.0,5.0,4.0,0.0,1.0,0.8125,0.8125,OptToMand B from OPTIONAL TO MANDATORY
RANDOM,EXAMPLE,22,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,23,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,24,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,25,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,26,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,27,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,28,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,29,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,30,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,31,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,32,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,33,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,34,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,35,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,36,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,37,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,38,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,39,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,40,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,41,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,42,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,43,1,MandToOpt,0.8125,0.8125,1.0,4.0,5.0,0.0,1.0,0.8125,0.8125,MandToOpt B from MANDATORY TO OPTIONAL
RANDOM,EXAMPLE,44,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,45,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,46,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,47,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,48,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,49,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,50,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,51,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,52,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,53,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,54,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,55,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,56,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,57,1,AndToAlt,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,58,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,59,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,60,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,61,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,62,1,OptToMand,0.5625,0.6875,1.0,7.0,6.0,0.0,1.0,0.5625,0.6875,OptToMand D from OPTIONAL TO MANDATORY
RANDOM,EXAMPLE,63,1,AndToAlt,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,64,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,65,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,66,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,67,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,68,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,69,1,AndToAlt,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,70,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,71,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,72,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,73,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,74,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,75,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,76,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,77,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,78,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,79,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,80,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,81,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,82,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,83,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,84,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,85,1,AndToAlt,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,0.6875,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,86,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,87,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,88,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,89,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,90,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,91,1,AndToAlt,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,0.8125,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,92,1,AndToAlt,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,0.8125,0.9375,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,93,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,94,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,95,1,OrToAlt,0.8125,0.8125,1.0,3.0,4.0,0.0,1.0,0.8125,0.8125,OrToAlt A from OR TO ALTERNATIVE
RANDOM,EXAMPLE,96,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,97,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,98,1,AndToAlt,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,0.5625,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,99,1,AndToAlt,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,REGISTER,0,1,AndToOr,0.98046875,0.9765625,3.0,1.0,4.0,0.0,3.0,0.98046875,0.9765625,AndToOr CardReader from AND TO OR
RANDOM,REGISTER,0,2,OptToMand,0.9765625,0.9921875,1.0,4.0,3.0,3.0,4.0,0.9765625,0.9921875,OptToMand Currency from OPTIONAL TO MANDATORY
RANDOM,REGISTER,1,1,OrToAnd,0.8994140625,0.9580078125,1.0,8.0,7.0,0.0,1.0,0.8994140625,0.9580078125,OrToAnd Register from OR TO AND
