repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,EXAMPLE,0,0,,,0.6875,,,6.0,,0.0,,0.6875,
RANDOM,EXAMPLE,0,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,0,2,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,3,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,4,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,5,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,6,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,7,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,8,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,9,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,10,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,11,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,12,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,13,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,14,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,15,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,16,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,17,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,18,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,19,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,20,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,21,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,22,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,23,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,24,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,0,25,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,0,,,0.6875,,,6.0,,0.0,,0.6875,
RANDOM,EXAMPLE,1,1,AndToAlt,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,0.6875,0.875,AndToAlt Root from AND TO ALT
RANDOM,EXAMPLE,1,2,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,3,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,4,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,5,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,6,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,7,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,8,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,9,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,10,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,11,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,12,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,13,,,0.875,,,6.0,,2.0,,0.875,
RANDOM,EXAMPLE,1,14,,,0.875,,,6.0,,2.0,,0.875,
