id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
1,RANDOM,EXAMPLE,0,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,154,0.709375,0.875,0
2,RANDOM,EXAMPLE,1,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,85,0.671875,0.875,0
3,RANDOM,EXAMPLE,2,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,47,0.659375,0.875,0
4,RANDOM,EXAMPLE,3,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,21,0.715625,0.875,0
5,RANDOM,EXAMPLE,4,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,47,0.7375,0.9375,0
6,RANDOM,EXAMPLE,5,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,21,0.75,0.9375,0
7,RANDOM,EXAMPLE,6,-1,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,2.0,2.0,0,32,0.671875,0.875,0
8,RANDOM,EXAMPLE,7,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,38,0.753125,0.875,0
9,RANDOM,EXAMPLE,8,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,62,0.70625,0.875,0
10,RANDOM,EXAMPLE,9,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,38,0.740625,0.9375,0
11,RANDOM,EXAMPLE,10,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,31,0.715625,0.875,0
12,RANDOM,EXAMPLE,11,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,42,0.6875,0.875,0
13,RANDOM,EXAMPLE,12,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,36,0.69375,0.875,0
14,RANDOM,EXAMPLE,13,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,30,0.690625,0.9375,0
15,RANDOM,EXAMPLE,14,-1,0.8125,0.8125,1.0,4.0,5.0,0.0,1.0,2.0,2.0,0,32,0.7875,0.8125,0
16,RANDOM,EXAMPLE,15,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,51,0.75,0.875,0
17,RANDOM,EXAMPLE,16,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,58,0.75,0.875,0
18,RANDOM,EXAMPLE,17,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,31,0.696875,0.875,0
19,RANDOM,EXAMPLE,18,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,27,0.68125,0.875,0
20,RANDOM,EXAMPLE,19,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,29,0.75625,0.875,0
21,RANDOM,EXAMPLE,20,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,28,0.684375,0.875,0
22,RANDOM,EXAMPLE,21,-1,0.8125,0.8125,1.0,5.0,4.0,0.0,1.0,2.0,2.0,0,31,0.740625,0.8125,0
23,RANDOM,EXAMPLE,22,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,29,0.746875,0.875,0
24,RANDOM,EXAMPLE,23,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,29,0.815625,0.9375,0
25,RANDOM,EXAMPLE,24,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,28,0.790625,0.875,0
26,RANDOM,EXAMPLE,25,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,26,0.709375,0.875,0
27,RANDOM,EXAMPLE,26,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,27,0.759375,0.9375,0
28,RANDOM,EXAMPLE,27,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,56,0.69375,0.875,0
29,RANDOM,EXAMPLE,28,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,57,0.765625,0.875,0
30,RANDOM,EXAMPLE,29,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,58,0.69375,0.9375,0
31,RANDOM,EXAMPLE,30,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,35,0.775,0.875,0
32,RANDOM,EXAMPLE,31,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,35,0.725,0.875,0
33,RANDOM,EXAMPLE,32,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,31,0.703125,0.875,0
34,RANDOM,EXAMPLE,33,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,31,0.75625,0.875,0
35,RANDOM,EXAMPLE,34,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,27,0.753125,0.875,0
36,RANDOM,EXAMPLE,35,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,29,0.728125,0.875,0
37,RANDOM,EXAMPLE,36,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,30,0.71875,0.875,0
38,RANDOM,EXAMPLE,37,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,33,0.675,0.875,0
39,RANDOM,EXAMPLE,38,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,27,0.78125,0.9375,0
40,RANDOM,EXAMPLE,39,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.734375,0.875,0
41,RANDOM,EXAMPLE,40,-1,0.6875,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,0,26,0.70625,0.9375,0
42,RANDOM,EXAMPLE,41,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,26,0.74375,0.9375,0
43,RANDOM,EXAMPLE,42,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,26,0.7875,0.9375,0
44,RANDOM,EXAMPLE,43,-1,0.8125,0.8125,1.0,4.0,5.0,0.0,1.0,2.0,2.0,0,28,0.778125,0.8125,0
45,RANDOM,EXAMPLE,44,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,29,0.778125,0.875,0
46,RANDOM,EXAMPLE,45,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,36,0.753125,0.9375,0
47,RANDOM,EXAMPLE,46,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,56,0.7625,0.9375,0
48,RANDOM,EXAMPLE,47,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,53,0.74375,0.875,0
49,RANDOM,EXAMPLE,48,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,54,0.7625,0.875,0
50,RANDOM,EXAMPLE,49,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,50,0.765625,0.9375,0
51,RANDOM,EXAMPLE,50,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,35,0.70625,0.875,0
52,RANDOM,EXAMPLE,51,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,25,0.678125,0.875,0
53,RANDOM,EXAMPLE,52,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.703125,0.875,0
54,RANDOM,EXAMPLE,53,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,25,0.675,0.875,0
55,RANDOM,EXAMPLE,54,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,26,0.70625,0.875,0
56,RANDOM,EXAMPLE,55,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.709375,0.875,0
57,RANDOM,EXAMPLE,56,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,25,0.74375,0.875,0
58,RANDOM,EXAMPLE,57,-1,0.6875,0.875,3.0,5.0,4.0,0.0,3.0,2.0,2.0,0,27,0.734375,0.875,0
59,RANDOM,EXAMPLE,58,-1,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,0,25,0.784375,0.875,0
60,RANDOM,EXAMPLE,59,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,30,0.771875,0.9375,0
61,RANDOM,EXAMPLE,60,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,26,0.74375,0.9375,0
62,RANDOM,EXAMPLE,61,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,27,0.771875,0.9375,0
63,RANDOM,EXAMPLE,62,-1,0.5625,0.6875,1.0,7.0,6.0,0.0,1.0,2.0,2.0,0,30,0.65,0.6875,0
64,RANDOM,EXAMPLE,63,-1,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,2.0,2.0,0,26,0.6875,0.875,0
65,RANDOM,EXAMPLE,64,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,27,0.7,0.875,0
66,RANDOM,EXAMPLE,65,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,25,0.684375,0.875,0
67,RANDOM,EXAMPLE,66,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,28,0.7625,0.875,0
68,RANDOM,EXAMPLE,67,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,28,0.775,0.9375,0
69,RANDOM,EXAMPLE,68,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,29,0.7625,0.875,0
