repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
TRUNCATION_2PERCENT,EXAMPLE,0,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,1,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,2,1,AndToOr,0.75,0.875,3.0,4.0,1.0,3.0,6.0,0.75,0.75,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,2,2,OptToMand,0.875,1.0,1.0,1.0,0.0,6.0,7.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,3,1,OptToMand,0.75,0.875,1.0,4.0,3.0,3.0,4.0,0.75,0.75,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,3,2,AndToOr,0.875,1.0,3.0,3.0,0.0,4.0,7.0,0.75,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,6,1,AndToOr,0.75,0.875,2.0,3.0,1.0,3.0,5.0,0.75,0.75,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,6,2,OptToMand,0.875,1.0,1.0,1.0,0.0,5.0,6.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,7,1,AndToOr,0.875,1.0,2.0,2.0,0.0,3.0,5.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,8,1,OptToMand,0.75,0.875,1.0,4.0,3.0,3.0,4.0,0.75,0.75,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,8,2,AndToOr,0.875,1.0,3.0,3.0,0.0,4.0,7.0,0.75,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,10,1,OptToMand,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,10,2,AltToOr,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,11,1,OptToMand,0.75,0.875,1.0,4.0,3.0,3.0,4.0,0.75,0.75,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,11,2,AndToOr,0.875,1.0,3.0,3.0,0.0,4.0,7.0,0.75,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,12,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,13,1,OptToMand,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,14,1,AndToOr,0.75,1.0,1.0,1.0,0.0,3.0,4.0,0.75,0.75,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,15,1,AltToOr,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,16,1,AndToOr,0.875,1.0,2.0,2.0,0.0,3.0,5.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,17,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,18,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,18,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,19,1,AndToOr,0.875,1.0,2.0,2.0,0.0,3.0,5.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,20,1,AndToOr,0.75,0.875,3.0,4.0,1.0,3.0,6.0,0.75,0.75,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,20,2,OptToMand,0.875,1.0,1.0,1.0,0.0,6.0,7.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,21,1,AndToOr,0.875,1.0,2.0,2.0,0.0,3.0,5.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,22,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,22,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,24,1,AltToOr,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,25,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,25,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,27,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,27,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,28,1,AndToOr,0.875,1.0,2.0,2.0,0.0,3.0,5.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,29,1,OptToMand,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,30,1,AltToOr,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,31,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,31,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,32,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,33,1,AltToAndOpt,0.875,0.875,3.0,1.0,3.0,3.0,6.0,0.875,0.875,AltToAndOpt A from ALT TO AND to OPT
TRUNCATION_2PERCENT,EXAMPLE,33,2,AndToOr,0.875,1.0,3.0,3.0,0.0,6.0,4.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,34,1,AltToOr,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,35,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,36,1,AltToOr,0.75,0.875,1.0,2.0,1.0,3.0,4.0,0.75,0.75,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,36,2,OptToMand,0.875,1.0,1.0,1.0,0.0,4.0,5.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,37,1,AndToOr,0.75,0.875,3.0,4.0,1.0,3.0,6.0,0.75,0.75,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,37,2,OptToMand,0.875,1.0,1.0,1.0,0.0,6.0,7.0,0.75,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,39,1,AndToOr,0.875,1.0,3.0,3.0,0.0,3.0,6.0,0.875,0.875,AndToOr A from AND TO OR
