id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
1,TRUNCATION_2PERCENT,EXAMPLE,0,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,196,0.85625,1.0,1
2,TRUNCATION_2PERCENT,EXAMPLE,1,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,90,0.8875,1.0,1
3,TRUNCATION_2PERCENT,EXAMPLE,2,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,118,0.775,1.0,1
4,TRUNCATION_2PERCENT,EXAMPLE,3,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,163,0.9,1.0,1
5,TRUNCATION_2PERCENT,EXAMPLE,4,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,48,1.0,1.0,1
6,TRUNCATION_2PERCENT,EXAMPLE,5,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,32,1.0,1.0,1
7,TRUNCATION_2PERCENT,EXAMPLE,6,-1,0.75,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,2,112,0.8125,1.0,1
8,TRUNCATION_2PERCENT,EXAMPLE,7,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,108,0.84375,1.0,1
9,TRUNCATION_2PERCENT,EXAMPLE,8,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,109,0.825,1.0,1
10,TRUNCATION_2PERCENT,EXAMPLE,9,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
11,TRUNCATION_2PERCENT,EXAMPLE,10,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,81,0.80625,1.0,1
12,TRUNCATION_2PERCENT,EXAMPLE,11,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,85,0.8375,1.0,1
13,TRUNCATION_2PERCENT,EXAMPLE,12,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,105,0.88125,1.0,1
14,TRUNCATION_2PERCENT,EXAMPLE,13,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,101,0.84375,1.0,1
15,TRUNCATION_2PERCENT,EXAMPLE,14,-1,0.75,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,63,0.89375,1.0,1
16,TRUNCATION_2PERCENT,EXAMPLE,15,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,65,0.8875,1.0,1
17,TRUNCATION_2PERCENT,EXAMPLE,16,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,64,0.88125,1.0,1
18,TRUNCATION_2PERCENT,EXAMPLE,17,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,72,0.85,1.0,1
19,TRUNCATION_2PERCENT,EXAMPLE,18,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,99,0.76875,1.0,1
20,TRUNCATION_2PERCENT,EXAMPLE,19,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,61,0.83125,1.0,1
21,TRUNCATION_2PERCENT,EXAMPLE,20,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,92,0.8625,1.0,1
22,TRUNCATION_2PERCENT,EXAMPLE,21,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,116,0.85625,1.0,1
23,TRUNCATION_2PERCENT,EXAMPLE,22,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,176,0.81875,1.0,1
