repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
TRUNCATION_2PERCENT,EXAMPLE,1,0,,,0.75,,,4.0,,2.0,,1.5,
TRUNCATION_2PERCENT,EXAMPLE,1,1,OrToAnd,0.75,0.875,1.0,4.0,5.0,2.0,3.0,1.5,1.5,OrToAnd Root from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,1,2,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,3,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,4,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,5,OptToMand,0.875,0.875,1.0,6.0,6.0,4.0,5.0,1.5,1.5,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,6,MandToOpt,0.875,0.875,1.0,6.0,6.0,5.0,4.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,7,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,8,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,9,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,10,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,11,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,12,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,13,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,14,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,15,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,16,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,17,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,18,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,19,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,20,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,21,OptToMand,0.875,0.875,1.0,6.0,5.0,4.0,3.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,22,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,23,OptToMand,0.875,0.875,1.0,6.0,6.0,4.0,5.0,1.5,1.5,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,24,MandToOpt,0.875,0.875,1.0,6.0,6.0,5.0,4.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,25,,,0.875,,,6.0,,4.0,,1.5,
TRUNCATION_2PERCENT,EXAMPLE,2,0,,,0.75,,,4.0,,2.0,,1.5,
TRUNCATION_2PERCENT,EXAMPLE,2,1,MandToOpt,0.75,0.75,1.0,4.0,4.0,2.0,3.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,2,OrToAnd,0.75,0.875,1.0,4.0,5.0,3.0,4.0,1.5,1.5,OrToAnd Root from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,2,3,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,4,OptToMand,0.875,0.875,1.0,6.0,6.0,5.0,4.0,1.5,1.5,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,5,MandToOpt,0.875,0.875,1.0,6.0,6.0,4.0,5.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,6,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,7,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,8,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,9,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,10,OptToMand,0.875,0.875,1.0,6.0,6.0,5.0,4.0,1.5,1.5,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,11,MandToOpt,0.875,0.875,1.0,6.0,6.0,4.0,5.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,12,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,13,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,14,OptToMand,0.875,0.875,1.0,6.0,6.0,5.0,4.0,1.5,1.5,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,15,MandToOpt,0.875,0.875,1.0,6.0,6.0,4.0,5.0,1.5,1.5,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,16,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,17,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,18,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,19,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,1.5,1.5,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,20,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,1.5,1.5,OptToMand D from OPTIONAL TO MANDATORY
