repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
TRUNCATION_2PERCENT,EXAMPLE,0,1,AndToAlt,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,AndToAlt Root from AND TO ALT
TRUNCATION_2PERCENT,EXAMPLE,0,2,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,3,OrToAlt,0.9375,0.875,1.0,3.0,4.0,3.0,2.0,2.0,2.0,OrToAlt A from OR TO ALTERNATIVE
TRUNCATION_2PERCENT,EXAMPLE,0,4,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,5,OrToAnd,0.9375,0.875,3.0,3.0,6.0,3.0,5.0,2.0,2.0,OrToAnd A from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,0,6,AndToOr,0.875,0.9375,3.0,6.0,3.0,5.0,3.0,2.0,2.0,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,7,OrToAndOpt,0.9375,0.875,3.0,3.0,6.0,3.0,5.0,2.0,2.0,OrToAndOpt A from OR TO AND in OPT
TRUNCATION_2PERCENT,EXAMPLE,0,8,AndToOr,0.875,0.9375,3.0,6.0,3.0,5.0,3.0,2.0,2.0,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,9,OrToAlt,0.9375,0.875,1.0,3.0,4.0,3.0,2.0,2.0,2.0,OrToAlt A from OR TO ALTERNATIVE
TRUNCATION_2PERCENT,EXAMPLE,0,10,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,11,OrToAndOpt,0.9375,0.875,3.0,3.0,6.0,3.0,5.0,2.0,2.0,OrToAndOpt A from OR TO AND in OPT
TRUNCATION_2PERCENT,EXAMPLE,0,12,AndToOr,0.875,0.9375,3.0,6.0,3.0,5.0,3.0,2.0,2.0,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,13,OrToAndOpt,0.9375,0.875,3.0,3.0,6.0,3.0,5.0,2.0,2.0,OrToAndOpt A from OR TO AND in OPT
TRUNCATION_2PERCENT,EXAMPLE,0,14,AndToOr,0.875,0.9375,3.0,6.0,3.0,5.0,3.0,2.0,2.0,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,15,OrToAnd,0.9375,0.875,3.0,3.0,6.0,3.0,5.0,2.0,2.0,OrToAnd A from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,0,16,AndToOr,0.875,0.9375,3.0,6.0,3.0,5.0,3.0,2.0,2.0,AndToOr A from AND TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,17,OrToAlt,0.9375,0.875,1.0,3.0,4.0,3.0,2.0,2.0,2.0,OrToAlt A from OR TO ALTERNATIVE
TRUNCATION_2PERCENT,EXAMPLE,0,18,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,19,OrToAlt,0.9375,0.875,1.0,3.0,4.0,3.0,2.0,2.0,2.0,OrToAlt A from OR TO ALTERNATIVE
TRUNCATION_2PERCENT,EXAMPLE,0,20,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
TRUNCATION_2PERCENT,EXAMPLE,0,21,OrToAlt,0.9375,0.875,1.0,3.0,4.0,3.0,2.0,2.0,2.0,OrToAlt A from OR TO ALTERNATIVE
TRUNCATION_2PERCENT,EXAMPLE,0,22,AltToOr,0.875,0.9375,1.0,4.0,3.0,2.0,3.0,2.0,2.0,AltToOr A from ALT TO OR
