id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
1,TRUNCATION_2PERCENT,EXAMPLE,0,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,142,1.0,1.0,1
2,TRUNCATION_2PERCENT,EXAMPLE,1,-1,0.75,0.875,4.0,6.0,6.0,0.0,4.0,2.0,1.5,6,301,0.71875,0.875,0
3,TRUNCATION_2PERCENT,EXAMPLE,2,-1,0.75,0.875,5.0,6.0,6.0,0.0,5.0,2.0,1.5,7,371,0.68125,0.875,0
4,TRUNCATION_2PERCENT,EXAMPLE,3,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,66,1.0,1.0,1
5,TRUNCATION_2PERCENT,EXAMPLE,4,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,55,1.0,1.0,1
6,TRUNCATION_2PERCENT,EXAMPLE,5,-1,0.75,0.875,4.0,6.0,6.0,0.0,4.0,2.0,1.5,6,225,0.73125,0.875,0
7,TRUNCATION_2PERCENT,EXAMPLE,6,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,60,0.76875,1.0,1
8,TRUNCATION_2PERCENT,EXAMPLE,7,-1,0.875,0.75,4.0,7.0,4.0,0.0,4.0,1.3333333333333333,1.0,5,271,0.75,0.75,0
9,TRUNCATION_2PERCENT,EXAMPLE,8,-1,0.875,0.75,3.0,8.0,5.0,0.0,3.0,2.0,1.5,5,187,0.7,0.75,0
10,TRUNCATION_2PERCENT,EXAMPLE,9,-1,0.375,0.75,5.0,10.0,6.0,0.0,5.0,2.0,1.5,7,274,0.54375,0.75,0
11,TRUNCATION_2PERCENT,EXAMPLE,10,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,54,1.0,1.0,1
12,TRUNCATION_2PERCENT,EXAMPLE,11,-1,0.5,0.625,4.0,9.0,6.0,0.0,4.0,1.3333333333333333,1.0,7,395,0.625,0.625,0
13,TRUNCATION_2PERCENT,EXAMPLE,12,-1,0.25,0.75,4.0,8.0,6.0,0.0,4.0,2.0,1.5,6,215,0.5375,0.75,0
14,TRUNCATION_2PERCENT,EXAMPLE,13,-1,0.75,0.75,3.0,7.0,4.0,0.0,3.0,2.0,1.5,6,219,0.7,0.75,0
15,TRUNCATION_2PERCENT,EXAMPLE,14,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,32,1.0,1.0,1
16,TRUNCATION_2PERCENT,EXAMPLE,15,-1,0.625,0.75,4.0,8.0,6.0,0.0,4.0,2.0,1.5,6,184,0.675,0.75,0
17,TRUNCATION_2PERCENT,EXAMPLE,16,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,93,0.85625,1.0,1
18,TRUNCATION_2PERCENT,EXAMPLE,17,-1,0.75,0.625,4.0,8.0,5.0,0.0,4.0,1.3333333333333333,1.0,5,222,0.625,0.625,0
19,TRUNCATION_2PERCENT,EXAMPLE,18,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,27,1.0,1.0,1
20,TRUNCATION_2PERCENT,EXAMPLE,19,-1,0.75,0.75,3.0,8.0,6.0,0.0,3.0,2.0,1.5,6,196,0.69375,0.75,0
